,city,cloudiness,country,date,humidity,lat,lng,max_temp,wind
84,New Norfolk,0,AU,1541826000,32,-42.78,147.06,20.0,5.1
85,Haines Junction,56,CA,1541828479,100,60.75,-137.51,-13.48,0.66
86,Ipanema,0,BR,1541826000,83,-30.14,-51.22,21.0,2.63
87,Luang Prabang,75,LA,1541826000,69,19.89,102.14,27.0,1.0
88,Burnie,24,AU,1541828480,97,-41.05,145.91,13.87,7.63
89,Shingu,20,JP,1541826000,43,33.72,135.99,21.0,9.3
90,El Retorno,48,CO,1541828481,98,2.33,-72.63,22.6,0.88
91,Port Alfred,36,ZA,1541828481,77,-33.59,26.89,20.6,3.81
92,Nikolskoye,90,RU,1541826000,93,59.7,30.79,3.0,5.0
93,Nome,1,US,1541826900,89,30.04,-94.42,10.0,4.43
94,Hobart,0,AU,1541826000,32,-42.88,147.33,20.0,5.1
95,The Pas,75,CA,1541826000,78,53.82,-101.24,-13.0,4.1
96,Airai,68,TL,1541828483,72,-8.93,125.41,25.82,0.83
97,Muros,40,ES,1541826000,93,42.77,-9.06,11.0,3.6
98,Arraial do Cabo,92,BR,1541828483,100,-22.97,-42.02,21.67,9.98
99,Victoria,75,BN,1541826000,79,5.28,115.24,31.0,2.1
100,Faya,0,SA,1541826000,59,18.39,42.45,18.0,1.91
101,Plettenberg Bay,36,ZA,1541828484,96,-34.05,23.37,17.1,3.63
102,Kloulklubed,75,PW,1541825400,94,7.04,134.26,26.0,1.5
103,Saint-Philippe,90,CA,1541827140,86,45.36,-73.48,3.0,6.2
104,Coacotla,40,MX,1541825580,83,17.94,-94.66,27.0,5.1
105,Edson,90,CA,1541827440,80,53.59,-116.44,1.0,6.7
106,Rundu,0,NA,1541828486,25,-17.91,19.77,23.62,4.13
107,Zhezkazgan,90,KZ,1541826000,85,47.8,67.71,-10.0,6.0
108,Sokolo,0,ML,1541828486,36,14.74,-6.12,19.77,4.98
109,Kapaa,90,US,1541825760,87,22.08,-159.32,24.4,7.7
110,Damaturu,0,NG,1541828487,34,11.75,11.96,15.72,2.73
111,Isangel,76,VU,1541828487,97,-19.55,169.27,25.35,7.63
112,Luderitz,0,NA,1541826000,100,-26.65,15.16,13.0,3.1
113,Topolobampo,0,MX,1541828488,89,25.6,-109.05,21.32,4.36
114,Qaqortoq,100,GL,1541825400,79,60.72,-46.03,-4.0,1.5
115,Qaanaaq,0,GL,1541828488,100,77.48,-69.36,-23.51,1.73
116,Waingapu,0,ID,1541828489,85,-9.65,120.26,29.6,1.88
117,Nuevitas,5,CU,1541825400,94,21.55,-77.27,23.0,3.1
118,Hermanus,44,ZA,1541828489,79,-34.42,19.24,15.82,2.26
119,Belen,40,TR,1541825400,87,36.49,36.19,12.0,1.5
120,Nanortalik,56,GL,1541828490,94,60.14,-45.24,0.07,5.53
121,Ambulu,48,ID,1541828490,100,-8.35,113.61,27.37,2.68
122,Kortkeros,0,RU,1541826000,92,61.81,51.56,-12.0,1.13
123,Saint Anthony,20,US,1541825760,53,43.97,-111.68,0.6,1.5
124,Alanya,20,TR,1541828491,100,36.55,32.0,16.1,2.86
125,Biak,80,ID,1541828492,81,-0.91,122.88,28.72,1.71
126,Belaya Gora,0,RU,1541828492,48,68.54,146.19,-33.86,1.93
127,Saint-Claude,75,FR,1541826000,100,46.39,5.86,8.0,1.0
128,Aksarka,64,RU,1541828493,83,66.56,67.8,-10.33,7.51
129,Torbay,75,CA,1541826000,100,47.66,-52.73,0.0,5.1
130,Talaya,44,RU,1541828493,84,55.79,84.89,-17.48,3.03
131,Vostok,88,RU,1541828494,83,46.45,135.83,-0.11,2.68
132,Lluta,0,PE,1541826000,35,-16.02,-72.01,13.0,1.0
133,Ler,0,NO,1541825400,80,63.2,10.3,4.0,4.1
134,Bubaque,0,GW,1541826000,100,11.28,-15.83,25.0,1.5
135,Geraldton,90,CA,1541826000,78,49.72,-86.95,-11.0,4.1
136,Marawi,88,PH,1541828495,83,8.0,124.29,25.62,1.43
137,Avarua,90,CK,1541826000,78,-21.21,-159.78,25.0,5.1
138,Hithadhoo,80,MV,1541828495,100,-0.6,73.08,28.75,8.98
139,Antofagasta,90,CL,1541826000,72,-23.65,-70.4,17.0,1.5
140,Amherstburg,75,US,1541826900,65,42.1,-83.11,-0.3,3.1
141,Darfield,56,NZ,1541826000,62,-43.49,172.11,13.0,7.2
142,Dovers,92,VC,1541828497,100,12.88,-61.18,27.17,7.78
143,Ayan,0,TR,1541828497,82,40.67,33.6,0.62,0.93
144,Paita,20,PE,1541828497,87,-5.09,-81.11,19.27,2.23
145,Albany,90,US,1541826540,88,42.65,-73.75,6.7,2.1
146,Saldanha,100,PT,1541828498,97,41.42,-6.55,12.6,8.06
147,Najran,0,SA,1541826000,36,17.54,44.22,24.0,2.1
148,Solenzo,8,BF,1541828499,67,12.18,-4.08,19.07,1.23
149,Baykit,32,RU,1541828499,52,61.68,96.39,-20.58,3.96
150,Kodiak,1,US,1541825580,80,39.95,-94.76,-9.4,2.1
151,Cabedelo,20,BR,1541826000,74,-6.97,-34.84,26.0,5.1
152,Iqaluit,75,CA,1541826000,85,63.75,-68.52,-10.0,2.1
