,city,cloudiness,country,date,humidity,lat,lng,max_temp,wind
371,La Ronge,90,CA,1541826000,78,55.1,-105.3,-11.0,4.6
372,Slave Lake,90,CA,1541827500,76,55.28,-114.77,0.0,6.7
373,Dunedin,92,NZ,1541828447,100,-45.87,170.5,8.12,1.51
374,Malabor,68,PH,1541828569,92,11.27,122.05,28.27,7.43
375,Hervey Bay,44,AU,1541828569,99,-25.3,152.85,22.5,5.51
376,Sao Filipe,92,CV,1541828569,94,14.9,-24.5,25.82,7.88
377,Prachuap Khiri Khan,92,TH,1541828570,92,11.81,99.79,25.27,1.48
378,Portland,90,US,1541827260,76,45.52,-122.67,9.4,0.93
379,Charters Towers,8,AU,1541828570,57,-20.07,146.27,28.47,5.51
380,Russell,0,AR,1541828570,73,-33.01,-68.8,11.32,0.31
381,Vila do Maio,0,CV,1541826000,73,15.13,-23.22,25.0,5.1
382,Inhambane,20,MZ,1541826000,68,-23.87,35.38,22.0,5.28
383,Ancud,76,CL,1541828571,99,-41.87,-73.83,7.62,1.56
384,Lucapa,20,AO,1541828571,96,-8.42,20.74,21.72,1.61
385,Okato,0,NZ,1541828572,92,-39.19,173.88,14.87,7.23
386,Kuytun,92,RU,1541828572,82,54.34,101.51,-4.08,2.13
387,Samarinda,48,ID,1541828572,83,-0.5,117.14,28.57,1.28
388,Alofi,100,NU,1541826000,74,-19.06,-169.92,27.0,1.5
389,Pangkalanbuun,88,ID,1541828573,89,-2.68,111.62,28.77,1.73
390,Guerrero Negro,0,MX,1541828573,72,27.97,-114.04,17.65,5.26
391,Constantine,75,DZ,1541826000,81,36.36,6.61,8.0,0.5
392,Aranos,0,NA,1541828574,21,-24.14,19.11,21.85,6.63
393,Istok,80,PL,1541828574,99,52.85,23.44,2.52,3.83
394,Mbamba,0,NG,1541828574,41,9.98,13.1,16.97,1.81
395,Dedougou,0,BF,1541828575,56,12.47,-3.47,17.22,1.28
396,Faanui,24,PF,1541828575,100,-16.48,-151.75,27.15,9.41
397,Lompoc,1,US,1541825880,60,34.64,-120.46,12.8,2.1
398,Gorontalo,80,ID,1541828576,81,0.54,123.06,27.75,1.16
399,Bandarbeyla,92,SO,1541828576,99,9.49,50.81,28.02,4.16
400,Cairns,40,AU,1541826000,58,-16.92,145.77,30.0,6.7
401,Erenhot,0,CN,1541828576,51,43.65,111.97,4.72,6.33
402,Vila Franca do Campo,20,PT,1541826000,88,37.72,-25.43,19.0,8.7
403,Boa Vista,64,BR,1541828291,95,2.82,-60.67,23.17,2.11
404,Port Augusta,0,AU,1541826000,31,-32.49,137.76,25.0,5.7
405,Bulgan,0,MN,1541828578,41,48.81,103.53,3.72,3.96
406,Bolshoye Murashkino,80,RU,1541828578,84,55.78,44.78,-2.08,5.21
407,Inuvik,90,CA,1541826000,85,68.36,-133.71,-8.0,2.1
408,Bambanglipuro,92,ID,1541828579,91,-7.95,110.28,27.72,2.06
409,Lingyuan,20,CN,1541828579,51,41.24,119.4,7.85,3.13
410,Kamaishi,75,JP,1541826000,63,39.28,141.86,17.0,2.1
411,Mount Gambier,8,AU,1541828580,74,-37.83,140.78,18.57,1.81
412,Antalaha,64,MG,1541828580,84,-14.9,50.28,26.5,4.58
413,Bonavista,48,CA,1541828580,100,48.65,-53.11,2.42,7.98
414,Ponta Delgada,20,PT,1541826000,88,37.73,-25.67,19.0,8.7
415,Batagay,0,RU,1541828581,31,67.65,134.64,-29.76,1.28
416,Honningsvag,0,NO,1541828582,100,70.98,25.97,3.1,8.91
417,Anta,75,PE,1541826000,76,-13.47,-72.15,10.0,2.1
418,Djenne,0,ML,1541828582,47,13.91,-4.55,20.65,5.08
419,Bowen,90,AU,1541826000,83,-20.01,148.25,25.0,5.7
420,Mbini,76,GQ,1541828583,100,1.58,9.62,25.4,0.98
421,Dingle,68,PH,1541828584,67,11.0,122.67,29.72,6.86
422,Flinders,75,AU,1541826000,45,-34.58,150.85,20.0,5.7
423,Port Hedland,0,AU,1541826000,46,-20.31,118.58,34.0,7.7
424,Victoria,75,BN,1541827800,79,5.28,115.24,31.0,2.1
425,Swan Hill,0,AU,1541828585,38,-35.34,143.56,24.22,2.16
426,Le Port,68,FR,1541828585,89,42.87,1.37,-2.11,0.61
427,Nelson Bay,12,AU,1541827800,60,-32.72,152.14,21.0,8.2
428,Yenagoa,0,NG,1541828586,93,4.92,6.26,23.4,1.46
429,Sol-Iletsk,68,RU,1541828586,65,51.16,55.0,-1.93,4.53
430,Houma,92,CN,1541828393,100,35.63,111.36,7.62,0.76
431,Aykhal,80,RU,1541828587,89,65.95,111.51,-3.26,3.41
432,Lalmohan,0,BD,1541828587,73,22.34,90.74,28.1,2.78
433,Kijang,0,KR,1541826000,37,35.24,129.21,19.0,4.6
434,Gandorhun,12,SL,1541828588,98,8.44,-10.86,20.72,1.28
435,Peace River,90,CA,1541826000,85,56.23,-117.29,-4.0,2.1
436,Polunochnoye,0,RU,1541828588,60,60.87,60.43,-16.68,1.81
437,Miles City,90,US,1541825580,68,46.41,-105.84,-1.1,4.6
438,Cortez,1,US,1541825580,48,37.35,-108.58,-7.2,2.6
439,Sistranda,0,NO,1541828589,100,63.73,8.83,5.25,5.98
440,Khamza,0,UZ,1541826000,61,40.42,71.51,9.0,1.0
441,Lima,56,PE,1541828529,80,-12.06,-77.04,15.15,1.06
442,Sundsvall,92,SE,1541825400,100,62.39,17.31,5.0,0.5
443,Miandrivazo,12,MG,1541828590,40,-19.53,45.46,28.67,1.51
444,Limoeiro do Ajuru,20,BR,1541828590,82,-1.9,-49.38,28.6,4.58
445,Bamiantong,80,CN,1541828591,82,44.93,130.53,0.32,5.06
446,Vredendal,0,ZA,1541828591,40,-31.68,18.49,23.15,1.66
447,Viedma,8,AR,1541828591,86,-40.81,-62.99,12.17,4.98
448,Manavalakurichi,20,IN,1541827800,70,8.13,77.3,31.0,1.5
449,Hasaki,75,JP,1541827320,64,35.73,140.83,22.0,4.6
450,Sitka,0,US,1541828592,70,37.17,-99.65,-8.03,3.81
451,Aksu,75,KZ,1541826000,71,52.04,76.93,-13.0,2.0
452,Conchas,88,BR,1541828593,99,-23.02,-48.01,17.9,2.93
453,Qianguo,0,CN,1541828593,75,45.12,124.86,3.72,4.41
454,Mocorito,0,MX,1541828594,59,25.48,-107.92,20.17,2.18
455,Meaux,75,FR,1541826000,87,48.96,2.9,12.0,11.3
456,Havre-Saint-Pierre,75,CA,1541826000,86,50.23,-63.6,-3.0,3.1
457,Ust-Nera,8,RU,1541828594,56,64.57,143.24,-36.76,0.83
458,Hay River,75,CA,1541826000,78,60.82,-115.79,-11.0,5.7
459,Romilly-sur-Seine,92,FR,1541826000,87,48.52,3.72,12.0,8.2
460,Mumford,0,GH,1541828595,94,5.26,-0.76,24.67,1.78
461,Brasilia,40,BR,1541826000,74,-10.9,-37.55,26.0,4.6
462,Lensk,76,RU,1541828596,51,60.71,114.91,-0.51,2.58
463,Taoudenni,0,ML,1541828596,50,22.68,-3.98,11.37,1.26
464,Asyut,0,EG,1541826000,62,27.18,31.19,15.0,1.48
465,Toba,20,JP,1541826000,52,34.47,136.83,20.0,12.3
466,Salvador,40,BR,1541826000,83,-12.98,-38.48,26.0,4.6
467,Kysyl-Syr,32,RU,1541828598,71,63.9,122.77,-11.63,5.53
468,Edeia,92,BR,1541828598,97,-17.34,-49.93,19.75,1.71
469,Chimbote,56,PE,1541828598,98,-9.08,-78.59,16.57,0.76
470,Powell,75,US,1541827020,86,40.16,-83.08,0.6,6.2
471,Ngunguru,36,NZ,1541828599,86,-35.62,174.5,17.57,6.16
472,Ust-Tsilma,36,RU,1541828599,94,65.44,52.15,-13.66,1.58
473,Tanout,0,NE,1541828599,24,14.97,8.88,16.22,3.46
474,Kananga,44,CD,1541828599,95,-5.9,22.41,21.97,1.61
475,Touros,88,BR,1541828600,88,-5.2,-35.46,25.5,6.96
476,Palmerston,90,CA,1541827920,86,43.83,-80.85,0.0,11.8
477,Enshi,92,CN,1541828600,100,30.29,109.48,10.85,1.58
478,Coihaique,0,CL,1541826000,87,-45.58,-72.07,7.0,1.5
479,San Quintin,20,PH,1541826000,52,17.54,120.52,33.0,2.1
480,Jardim,0,BR,1541828601,85,-21.48,-56.15,21.92,4.31
481,Srednekolymsk,0,RU,1541828602,59,67.46,153.71,-28.86,1.06
482,Lazne Bohdanec,90,CZ,1541826000,81,50.08,15.68,10.0,2.6
483,Souillac,90,FR,1541826000,93,45.6,-0.6,11.0,7.2
484,Fomboni,32,KM,1541828603,100,-12.28,43.74,26.47,8.41
485,Coos Bay,1,US,1541825760,89,43.37,-124.22,7.8,1.5
486,Velikiy Ustyug,76,RU,1541828603,91,60.76,46.3,-6.33,2.93
487,Tome,75,JP,1541826000,59,38.69,141.2,18.0,4.1
488,Shache,44,CN,1541828448,57,38.42,77.24,9.02,1.78
489,Middle Island,90,US,1541826900,89,40.88,-72.94,10.6,1.5
490,Makokou,92,GA,1541828604,97,0.56,12.85,23.17,1.16
491,Aiani,75,GR,1541825400,93,40.17,21.82,6.0,0.26
492,Nola,48,CF,1541828605,95,3.52,16.05,21.4,1.33
493,Tumwater,75,US,1541827380,100,47.01,-122.91,6.1,1.06
494,Yeppoon,0,AU,1541827800,42,-23.13,150.74,28.0,5.7
495,Sangar,0,RU,1541828606,65,63.92,127.47,-10.51,5.33
496,Meulaboh,20,ID,1541828606,100,4.14,96.13,27.82,1.96
497,Pacific Grove,75,US,1541825700,27,36.62,-121.92,12.8,3.1
498,Norton Shores,90,US,1541827020,68,43.17,-86.26,-2.2,5.7
499,Kaisiadorys,90,LT,1541825400,93,54.87,24.45,6.0,2.1
500,Troitskoye,8,RU,1541828607,76,52.98,84.68,-16.28,1.71
501,Ende,0,ID,1541828608,100,-8.84,121.65,28.72,3.81
502,Skjervoy,32,NO,1541828608,100,70.03,20.97,3.47,5.56
503,Namatanai,48,PG,1541828608,100,-3.66,152.44,28.72,4.58
504,High Rock,44,BS,1541828608,100,26.63,-78.28,25.9,3.31
505,Waitara,0,NZ,1541828609,92,-39.0,174.24,14.87,7.23
506,Cayenne,75,GF,1541827800,94,4.94,-52.33,23.0,0.5
507,Dehloran,0,IR,1541828609,78,32.69,47.27,17.25,2.16
508,Acapulco,5,MX,1541825100,88,16.86,-99.88,27.0,1.83
509,Ornskoldsvik,92,SE,1541825400,100,63.29,18.72,5.0,4.6
510,Fayaoue,0,NC,1541828610,97,-20.65,166.53,25.35,7.31
511,Fergus Falls,40,US,1541826960,66,46.28,-96.08,-11.0,2.6
512,Kathu,0,ZA,1541828611,21,-27.7,23.05,21.42,3.36
513,Bud,0,NO,1541825400,70,62.91,6.91,9.0,4.6
514,Raudeberg,8,NO,1541825400,57,61.99,5.14,11.0,9.3
515,Bad Salzungen,0,DE,1541825400,87,50.81,10.23,7.0,5.7
516,Todos Santos,5,MX,1541824980,78,23.45,-110.23,23.0,2.6
517,Ergani,0,TR,1541825400,93,38.27,39.76,7.0,2.1
518,Ndjole,80,GA,1541828613,97,-0.18,10.76,23.25,1.66
519,Merritt,75,CA,1541827380,86,50.11,-120.79,3.0,3.6
520,Lagoa,20,PT,1541826000,87,37.14,-8.45,16.0,3.1
521,Kachug,0,RU,1541828614,70,53.96,105.89,0.15,1.61
522,Lumberton,1,US,1541826900,89,30.27,-94.2,10.0,4.43
523,Evensk,0,RU,1541828615,100,61.92,159.24,-12.66,2.78
524,Ondjiva,0,AO,1541828615,42,-17.07,15.73,25.82,5.38
525,Saint-Georges,88,CA,1541828615,88,46.12,-70.67,1.1,4.48
526,Honiara,75,SB,1541827800,70,-9.43,159.96,30.0,7.2
527,Mocajuba,0,BR,1541828616,67,-2.58,-49.5,27.42,1.71
528,Henties Bay,0,NA,1541828616,99,-22.12,14.28,15.57,2.63
529,Charlestown,90,US,1541827260,96,41.38,-71.64,11.1,4.1
530,Nsanje,24,MZ,1541828617,68,-16.92,35.26,23.75,1.93
531,Mantua,75,IT,1541825700,100,45.16,10.79,13.0,1.0
532,Eyemouth,76,GB,1541825400,93,55.87,-2.09,9.0,3.6
533,Flagstaff,1,US,1541825820,43,35.2,-111.65,9.0,0.33
534,Hualmay,48,PE,1541828618,97,-11.1,-77.61,14.37,1.93
535,Kwekwe,0,ZW,1541828618,39,-18.93,29.81,17.87,5.33
536,Kudahuvadhoo,68,MV,1541828618,100,2.67,72.89,27.72,6.53
537,Jiamusi,92,CN,1541828619,90,46.81,130.37,0.77,5.56
538,Ahuimanu,90,US,1541825820,93,21.44,-157.84,26.1,4.1
539,Te Anau,56,NZ,1541828619,64,-45.41,167.72,9.97,1.78
540,Sept-Iles,90,CA,1541826000,73,50.2,-66.38,-3.0,3.1
541,Umm Lajj,0,SA,1541828620,86,25.02,37.27,24.02,2.41
542,Turukhansk,36,RU,1541828620,72,65.8,87.96,-26.91,2.91
543,Les Cayes,0,HT,1541828620,100,18.19,-73.75,26.85,0.38
544,Severomuysk,24,RU,1541828621,76,56.17,113.57,-16.93,1.13
545,Wajir,88,KE,1541828621,92,1.75,40.07,24.12,2.46
546,Ambilobe,8,MG,1541828621,66,-13.19,49.05,29.12,1.56
547,Marsabit,44,KE,1541828622,94,2.34,37.99,23.25,2.78
548,Springdale,1,US,1541825880,77,36.19,-94.13,-3.9,2.6
549,Kahului,40,US,1541825760,79,20.89,-156.47,27.2,5.1
550,San Carlos de Bariloche,40,AR,1541826000,93,-41.13,-71.31,7.0,2.6
551,Dandong,0,CN,1541828623,54,40.12,124.37,8.32,2.96
552,Verkhoyansk,0,RU,1541828623,46,67.55,133.39,-34.01,1.21
